metric,score
hypervolume/MOHalfCheetahDefault-v5,49177.23166474783
hypervolume/MOHalfCheetahLight-v5,13288.305643188982
hypervolume/MOHalfCheetahHeavy-v5,50229.846140279304
hypervolume/MOHalfCheetahSlippery-v5,49145.88606426226
hypervolume/MOHalfCheetahHard-v5,49631.007598075186
normalized_hypervolume/MOHalfCheetahDefault-v5,0.0032652690809428
normalized_hypervolume/MOHalfCheetahLight-v5,0.0157507960492297
normalized_hypervolume/MOHalfCheetahHeavy-v5,0.0131033853548535
normalized_hypervolume/MOHalfCheetahSlippery-v5,0.0018308837730024
normalized_hypervolume/MOHalfCheetahHard-v5,0.0385576019164951
eum/MOHalfCheetahDefault-v5,-5.692503738657301
eum/MOHalfCheetahLight-v5,-188.97015889309623
eum/MOHalfCheetahHeavy-v5,-2.888596639520831
eum/MOHalfCheetahSlippery-v5,-5.9357919495758384
eum/MOHalfCheetahHard-v5,-7.404243862606112
NHGR/MOHalfCheetahDefault-v5,0.004285441340540419
NHGR/MOHalfCheetahLight-v5,0.017155532366725255
NHGR/MOHalfCheetahHeavy-v5,0.01702389869449004
NHGR/MOHalfCheetahSlippery-v5,0.0027879284422527998
NHGR/MOHalfCheetahHard-v5,0.06027492668202311
EUGR/MOHalfCheetahDefault-v5,0.0
EUGR/MOHalfCheetahLight-v5,0.0
EUGR/MOHalfCheetahHeavy-v5,0.0
EUGR/MOHalfCheetahSlippery-v5,0.0
EUGR/MOHalfCheetahHard-v5,0.0
