metric,score
hypervolume/MOHopperDefault-v5,16420697.260959435
hypervolume/MOHopperLight-v5,13926872.849623015
hypervolume/MOHopperHeavy-v5,12298918.573207524
hypervolume/MOHopperSlippery-v5,15371723.848232972
hypervolume/MOHopperLowDamping-v5,16675094.647017395
hypervolume/MOHopperHard-v5,14516972.1442909
normalized_hypervolume/MOHopperDefault-v5,0.3775034422662277
normalized_hypervolume/MOHopperLight-v5,0.1924452083917905
normalized_hypervolume/MOHopperHeavy-v5,0.4153831873789719
normalized_hypervolume/MOHopperSlippery-v5,0.5059000698886558
normalized_hypervolume/MOHopperLowDamping-v5,0.3787730721082998
normalized_hypervolume/MOHopperHard-v5,0.4938563008800334
eum/MOHopperDefault-v5,162.79209136495237
eum/MOHopperLight-v5,146.16779080815147
eum/MOHopperHeavy-v5,135.0388495422465
eum/MOHopperSlippery-v5,157.83159678142292
eum/MOHopperLowDamping-v5,164.26778422393133
eum/MOHopperHard-v5,152.7209224131376
NHGR/MOHopperDefault-v5,0.5681205808395812
NHGR/MOHopperLight-v5,0.24543124466848806
NHGR/MOHopperHeavy-v5,0.5945991607889157
NHGR/MOHopperSlippery-v5,0.6918736608776229
NHGR/MOHopperLowDamping-v5,0.5937004107086357
NHGR/MOHopperHard-v5,0.6381518608304314
EUGR/MOHopperDefault-v5,0.8536121148216333
EUGR/MOHopperLight-v5,0.5885200442015119
EUGR/MOHopperHeavy-v5,0.8609276141197466
EUGR/MOHopperSlippery-v5,0.8808481335532315
EUGR/MOHopperLowDamping-v5,0.869978587696847
EUGR/MOHopperHard-v5,0.835664877745535
