metric,score
hypervolume/MOHopperDefault-v5,15732388.791456277
hypervolume/MOHopperLight-v5,15105539.989006933
hypervolume/MOHopperHeavy-v5,12742836.874290384
hypervolume/MOHopperSlippery-v5,14214707.360542608
hypervolume/MOHopperLowDamping-v5,15546991.155725235
hypervolume/MOHopperHard-v5,10975291.333005195
normalized_hypervolume/MOHopperDefault-v5,0.3371431131445028
normalized_hypervolume/MOHopperLight-v5,0.2246541456088874
normalized_hypervolume/MOHopperHeavy-v5,0.4213533534022416
normalized_hypervolume/MOHopperSlippery-v5,0.4216430160594397
normalized_hypervolume/MOHopperLowDamping-v5,0.3165397556621667
normalized_hypervolume/MOHopperHard-v5,0.312313765759633
eum/MOHopperDefault-v5,148.64909030844123
eum/MOHopperLight-v5,149.23038931160437
eum/MOHopperHeavy-v5,128.41300119845127
eum/MOHopperSlippery-v5,141.1261674419772
eum/MOHopperLowDamping-v5,147.86347568942233
eum/MOHopperHard-v5,116.02538387922992
NHGR/MOHopperDefault-v5,0.5073806482819851
NHGR/MOHopperLight-v5,0.2865082848125466
NHGR/MOHopperHeavy-v5,0.603145139092963
NHGR/MOHopperSlippery-v5,0.5766429270680528
NHGR/MOHopperLowDamping-v5,0.4961540214466623
NHGR/MOHopperHard-v5,0.40356599769470936
EUGR/MOHopperDefault-v5,0.7794522650368656
EUGR/MOHopperLight-v5,0.6008510823642853
EUGR/MOHopperHeavy-v5,0.8186851348222737
EUGR/MOHopperSlippery-v5,0.78761619169919
EUGR/MOHopperLowDamping-v5,0.7830997316970572
EUGR/MOHopperHard-v5,0.6348726599000343
