metric,score
hypervolume/MOHumanoidDefault-v5,12667.251409244353
hypervolume/MOHumanoidLight-v5,13367.68232917332
hypervolume/MOHumanoidHeavy-v5,13591.921597028422
hypervolume/MOHumanoidLowDamping-v5,12545.93573917956
hypervolume/MOHumanoidHard-v5,11935.73985140273
normalized_hypervolume/MOHumanoidDefault-v5,0.0154609132321975
normalized_hypervolume/MOHumanoidLight-v5,0.0417873719476945
normalized_hypervolume/MOHumanoidHeavy-v5,0.0698352650275949
normalized_hypervolume/MOHumanoidLowDamping-v5,0.0207428940100596
normalized_hypervolume/MOHumanoidHard-v5,0.005277589346058
eum/MOHumanoidDefault-v5,16.739735793360083
eum/MOHumanoidLight-v5,22.23350158987166
eum/MOHumanoidHeavy-v5,23.02397425597884
eum/MOHumanoidLowDamping-v5,15.813466963464863
eum/MOHumanoidHard-v5,11.291915779731168
NHGR/MOHumanoidDefault-v5,0.01835415305484839
NHGR/MOHumanoidLight-v5,0.043347281046834364
NHGR/MOHumanoidHeavy-v5,0.07463638051596683
NHGR/MOHumanoidLowDamping-v5,0.022952963500401175
NHGR/MOHumanoidHard-v5,0.0056125092190708655
EUGR/MOHumanoidDefault-v5,0.06805245449954678
EUGR/MOHumanoidLight-v5,0.06830134156279492
EUGR/MOHumanoidHeavy-v5,0.13013221097820535
EUGR/MOHumanoidLowDamping-v5,0.06390103348334263
EUGR/MOHumanoidHard-v5,0.05659196640836631
