metric,score
hypervolume/MOLavaGridCheckerBoard-v0,66287.62145290704
hypervolume/MOLavaGridSmiley-v0,66287.62145290704
hypervolume/MOLavaGridSnake-v0,161480.98709887642
hypervolume/MOLavaGridIslands-v0,163210.2134204301
hypervolume/MOLavaGridLabyrinth-v0,218369.6518523803
hypervolume/MOLavaGridMaze-v0,80128.34967328535
hypervolume/MOLavaGridCorridor-v0,66287.62145290704
hypervolume/MOLavaGridRoom-v0,66287.62145290704
normalized_hypervolume/MOLavaGridCheckerBoard-v0,0.0
normalized_hypervolume/MOLavaGridSmiley-v0,0.0
normalized_hypervolume/MOLavaGridSnake-v0,0.0
normalized_hypervolume/MOLavaGridIslands-v0,0.1414965802640084
normalized_hypervolume/MOLavaGridLabyrinth-v0,0.0
normalized_hypervolume/MOLavaGridMaze-v0,0.0190958669415295
normalized_hypervolume/MOLavaGridCorridor-v0,0.0
normalized_hypervolume/MOLavaGridRoom-v0,0.0
eum/MOLavaGridCheckerBoard-v0,-216.6163470745254
eum/MOLavaGridSmiley-v0,-216.6163470745254
eum/MOLavaGridSnake-v0,-148.66735468513627
eum/MOLavaGridIslands-v0,-168.729010907693
eum/MOLavaGridLabyrinth-v0,-96.18225939767312
eum/MOLavaGridMaze-v0,-214.77853032632893
eum/MOLavaGridCorridor-v0,-216.6163470745254
eum/MOLavaGridRoom-v0,-216.6163470745254
NHGR/MOLavaGridCheckerBoard-v0,0.0
NHGR/MOLavaGridSmiley-v0,0.0
NHGR/MOLavaGridSnake-v0,0.0
NHGR/MOLavaGridIslands-v0,0.14151237267151429
NHGR/MOLavaGridLabyrinth-v0,0.0
NHGR/MOLavaGridMaze-v0,0.019137740334055207
NHGR/MOLavaGridCorridor-v0,0.0
NHGR/MOLavaGridRoom-v0,0.0
EUGR/MOLavaGridCheckerBoard-v0,0.0
EUGR/MOLavaGridSmiley-v0,0.0
EUGR/MOLavaGridSnake-v0,0.0
EUGR/MOLavaGridIslands-v0,0.0
EUGR/MOLavaGridLabyrinth-v0,0.0
EUGR/MOLavaGridMaze-v0,0.0
EUGR/MOLavaGridCorridor-v0,0.0
EUGR/MOLavaGridRoom-v0,0.0
