metric,score
hypervolume/MOLavaGridCheckerBoard-v0,61063.43168260659
hypervolume/MOLavaGridSmiley-v0,117350.85603443888
hypervolume/MOLavaGridSnake-v0,236061.37221061543
hypervolume/MOLavaGridIslands-v0,290555.03577319626
hypervolume/MOLavaGridLabyrinth-v0,222595.1594182085
hypervolume/MOLavaGridMaze-v0,77189.5515339442
hypervolume/MOLavaGridCorridor-v0,389823.6090050494
hypervolume/MOLavaGridRoom-v0,64988.18587161333
normalized_hypervolume/MOLavaGridCheckerBoard-v0,0.0355499451565533
normalized_hypervolume/MOLavaGridSmiley-v0,0.0716994178503996
normalized_hypervolume/MOLavaGridSnake-v0,0.0782446012327451
normalized_hypervolume/MOLavaGridIslands-v0,0.4386157259916292
normalized_hypervolume/MOLavaGridLabyrinth-v0,0.1157504931000047
normalized_hypervolume/MOLavaGridMaze-v0,0.1038151628811919
normalized_hypervolume/MOLavaGridCorridor-v0,0.313786875755524
normalized_hypervolume/MOLavaGridRoom-v0,0.0423670058098609
eum/MOLavaGridCheckerBoard-v0,-219.4448415824011
eum/MOLavaGridSmiley-v0,-188.27324970842187
eum/MOLavaGridSnake-v0,-132.39276720712078
eum/MOLavaGridIslands-v0,-113.42043814645297
eum/MOLavaGridLabyrinth-v0,-85.13832442586929
eum/MOLavaGridMaze-v0,-210.505310304396
eum/MOLavaGridCorridor-v0,-105.26097223655366
eum/MOLavaGridRoom-v0,-196.2692678688163
NHGR/MOLavaGridCheckerBoard-v0,0.0355499451565533
NHGR/MOLavaGridSmiley-v0,0.07174602691298325
NHGR/MOLavaGridSnake-v0,0.0782926410613068
NHGR/MOLavaGridIslands-v0,0.4386646798127775
NHGR/MOLavaGridLabyrinth-v0,0.11587858528568337
NHGR/MOLavaGridMaze-v0,0.10404280863714291
NHGR/MOLavaGridCorridor-v0,0.3157884321578592
NHGR/MOLavaGridRoom-v0,0.042464774293966515
EUGR/MOLavaGridCheckerBoard-v0,0.0
EUGR/MOLavaGridSmiley-v0,0.0
EUGR/MOLavaGridSnake-v0,0.0
EUGR/MOLavaGridIslands-v0,0.0
EUGR/MOLavaGridLabyrinth-v0,0.0
EUGR/MOLavaGridMaze-v0,0.0
EUGR/MOLavaGridCorridor-v0,0.0
EUGR/MOLavaGridRoom-v0,0.0
