metric,score
hypervolume/MOLavaGridCheckerBoard-v0,0.0
hypervolume/MOLavaGridSmiley-v0,206138.5801516507
hypervolume/MOLavaGridSnake-v0,368636.3029223229
hypervolume/MOLavaGridIslands-v0,0.0
hypervolume/MOLavaGridLabyrinth-v0,302427.0673809906
hypervolume/MOLavaGridMaze-v0,240965.6823249839
hypervolume/MOLavaGridCorridor-v0,145455.04110314607
hypervolume/MOLavaGridRoom-v0,193372.68935123907
normalized_hypervolume/MOLavaGridCheckerBoard-v0,0.075652057378519
normalized_hypervolume/MOLavaGridSmiley-v0,0.2199574487476084
normalized_hypervolume/MOLavaGridSnake-v0,0.3379093937243676
normalized_hypervolume/MOLavaGridIslands-v0,0.2313913274408244
normalized_hypervolume/MOLavaGridLabyrinth-v0,0.3587659783519876
normalized_hypervolume/MOLavaGridMaze-v0,0.3663749125062389
normalized_hypervolume/MOLavaGridCorridor-v0,0.0576572157754559
normalized_hypervolume/MOLavaGridRoom-v0,0.2509758937215867
eum/MOLavaGridCheckerBoard-v0,-611.7661345075629
eum/MOLavaGridSmiley-v0,-302.46364403057584
eum/MOLavaGridSnake-v0,-138.51320640472903
eum/MOLavaGridIslands-v0,-524.9552003139369
eum/MOLavaGridLabyrinth-v0,-198.85867198453627
eum/MOLavaGridMaze-v0,-260.23703410095806
eum/MOLavaGridCorridor-v0,-369.485323378745
eum/MOLavaGridRoom-v0,-306.660551245176
NHGR/MOLavaGridCheckerBoard-v0,0.075652057378519
NHGR/MOLavaGridSmiley-v0,0.22010043471321009
NHGR/MOLavaGridSnake-v0,0.33811685991485435
NHGR/MOLavaGridIslands-v0,0.23141715298466053
NHGR/MOLavaGridLabyrinth-v0,0.35916299712126876
NHGR/MOLavaGridMaze-v0,0.3671782989442529
NHGR/MOLavaGridCorridor-v0,0.05802499460335722
NHGR/MOLavaGridRoom-v0,0.25155505980158616
EUGR/MOLavaGridCheckerBoard-v0,0.0
EUGR/MOLavaGridSmiley-v0,0.0
EUGR/MOLavaGridSnake-v0,0.0
EUGR/MOLavaGridIslands-v0,0.0
EUGR/MOLavaGridLabyrinth-v0,0.0
EUGR/MOLavaGridMaze-v0,0.0
EUGR/MOLavaGridCorridor-v0,0.0
EUGR/MOLavaGridRoom-v0,0.0
