metric,score
hypervolume/MOLavaGridCheckerBoard-v0,795911.1169372664
hypervolume/MOLavaGridSmiley-v0,921329.8753038673
hypervolume/MOLavaGridSnake-v0,888921.2602411445
hypervolume/MOLavaGridIslands-v0,792119.0767726213
hypervolume/MOLavaGridLabyrinth-v0,907746.6919756874
hypervolume/MOLavaGridMaze-v0,868118.1699779601
hypervolume/MOLavaGridCorridor-v0,932332.89929808
hypervolume/MOLavaGridRoom-v0,902388.6011581097
normalized_hypervolume/MOLavaGridCheckerBoard-v0,1.0
normalized_hypervolume/MOLavaGridSmiley-v0,0.9993503603671295
normalized_hypervolume/MOLavaGridSnake-v0,0.9993864068460266
normalized_hypervolume/MOLavaGridIslands-v0,0.9998884026378209
normalized_hypervolume/MOLavaGridLabyrinth-v0,0.9988946000215408
normalized_hypervolume/MOLavaGridMaze-v0,0.9978119991286958
normalized_hypervolume/MOLavaGridCorridor-v0,0.993661717154558
normalized_hypervolume/MOLavaGridRoom-v0,0.9976976568054075
eum/MOLavaGridCheckerBoard-v0,162.98739339696354
eum/MOLavaGridSmiley-v0,241.1742974586253
eum/MOLavaGridSnake-v0,223.14393297705948
eum/MOLavaGridIslands-v0,162.82817199727884
eum/MOLavaGridLabyrinth-v0,229.94912126415775
eum/MOLavaGridMaze-v0,205.74120366578313
eum/MOLavaGridCorridor-v0,231.04255087134615
eum/MOLavaGridRoom-v0,223.62894470005486
