metric,score
hypervolume/MOLunarLanderDefault-v0,310742899.7775713
hypervolume/MOLunarLanderHighGravity-v0,332827206.2421465
hypervolume/MOLunarLanderWindy-v0,339464380.4329436
hypervolume/MOLunarLanderTurbulent-v0,462162318.99757594
hypervolume/MOLunarLanderHard-v0,529327378.2425461
hypervolume/MOLunarLanderLowMainEngine-v0,356143531.1089126
hypervolume/MOLunarLanderLowSideEngine-v0,440790880.690515
hypervolume/MOLunarLanderStartRight-v0,358436363.84267825
normalized_hypervolume/MOLunarLanderDefault-v0,0.0518794840651612
normalized_hypervolume/MOLunarLanderHighGravity-v0,0.0874757905557761
normalized_hypervolume/MOLunarLanderWindy-v0,0.0640086639153444
normalized_hypervolume/MOLunarLanderTurbulent-v0,0.10517645049049
normalized_hypervolume/MOLunarLanderHard-v0,0.1939727844026687
normalized_hypervolume/MOLunarLanderLowMainEngine-v0,0.1069814699280431
normalized_hypervolume/MOLunarLanderLowSideEngine-v0,0.1056608150131499
normalized_hypervolume/MOLunarLanderStartRight-v0,0.0770669241011461
eum/MOLunarLanderDefault-v0,-40.60334290408744
eum/MOLunarLanderHighGravity-v0,-21.818256910786623
eum/MOLunarLanderWindy-v0,-43.55492876428334
eum/MOLunarLanderTurbulent-v0,-21.55662002105843
eum/MOLunarLanderHard-v0,-11.009075466994158
eum/MOLunarLanderLowMainEngine-v0,-17.935559824800528
eum/MOLunarLanderLowSideEngine-v0,-21.84026648653371
eum/MOLunarLanderStartRight-v0,-32.060134423462216
NHGR/MOLunarLanderDefault-v0,0.07976675824564768
NHGR/MOLunarLanderHighGravity-v0,0.15259526214842695
NHGR/MOLunarLanderWindy-v0,0.09221556973272245
NHGR/MOLunarLanderTurbulent-v0,0.17315000441116946
NHGR/MOLunarLanderHard-v0,0.3167037709406529
NHGR/MOLunarLanderLowMainEngine-v0,0.16186627339988097
NHGR/MOLunarLanderLowSideEngine-v0,0.1490354411878841
NHGR/MOLunarLanderStartRight-v0,0.1152185280498129
EUGR/MOLunarLanderDefault-v0,0.0
EUGR/MOLunarLanderHighGravity-v0,0.0
EUGR/MOLunarLanderWindy-v0,0.0
EUGR/MOLunarLanderTurbulent-v0,0.0
EUGR/MOLunarLanderHard-v0,0.0
EUGR/MOLunarLanderLowMainEngine-v0,0.0
EUGR/MOLunarLanderLowSideEngine-v0,0.0
EUGR/MOLunarLanderStartRight-v0,0.0
