metric,score
hypervolume/MOLunarLanderDefault-v0,813090274.13585
hypervolume/MOLunarLanderHighGravity-v0,761127322.4563425
hypervolume/MOLunarLanderWindy-v0,824735270.1053078
hypervolume/MOLunarLanderTurbulent-v0,795878457.0137945
hypervolume/MOLunarLanderHard-v0,742498998.88555
hypervolume/MOLunarLanderLowMainEngine-v0,755929384.884707
hypervolume/MOLunarLanderLowSideEngine-v0,798197831.0287446
hypervolume/MOLunarLanderStartRight-v0,826708872.8216879
normalized_hypervolume/MOLunarLanderDefault-v0,0.3044584581913828
normalized_hypervolume/MOLunarLanderHighGravity-v0,0.275867832655202
normalized_hypervolume/MOLunarLanderWindy-v0,0.3346123791070003
normalized_hypervolume/MOLunarLanderTurbulent-v0,0.2995117066477062
normalized_hypervolume/MOLunarLanderHard-v0,0.3148890037597517
normalized_hypervolume/MOLunarLanderLowMainEngine-v0,0.2653780675694535
normalized_hypervolume/MOLunarLanderLowSideEngine-v0,0.3046910234914199
normalized_hypervolume/MOLunarLanderStartRight-v0,0.2986409325366377
eum/MOLunarLanderDefault-v0,2.754893266344119
eum/MOLunarLanderHighGravity-v0,3.836221371108005
eum/MOLunarLanderWindy-v0,4.516588949190352
eum/MOLunarLanderTurbulent-v0,1.994166436530669
eum/MOLunarLanderHard-v0,1.8066827175987603
eum/MOLunarLanderLowMainEngine-v0,2.0264772769990396
eum/MOLunarLanderLowSideEngine-v0,3.1781651988184136
eum/MOLunarLanderStartRight-v0,-0.5705370054855764
NHGR/MOLunarLanderDefault-v0,0.4681169188169181
NHGR/MOLunarLanderHighGravity-v0,0.48123170965225737
NHGR/MOLunarLanderWindy-v0,0.48206710297505073
NHGR/MOLunarLanderTurbulent-v0,0.4930804670189589
NHGR/MOLunarLanderHard-v0,0.5141264287439219
NHGR/MOLunarLanderLowMainEngine-v0,0.40152522552196895
NHGR/MOLunarLanderLowSideEngine-v0,0.42976917323967545
NHGR/MOLunarLanderStartRight-v0,0.4464816659496491
EUGR/MOLunarLanderDefault-v0,0.13481138072327656
EUGR/MOLunarLanderHighGravity-v0,0.19801082671296436
EUGR/MOLunarLanderWindy-v0,0.2396533033076102
EUGR/MOLunarLanderTurbulent-v0,0.1061526766726884
EUGR/MOLunarLanderHard-v0,0.1543503125153161
EUGR/MOLunarLanderLowMainEngine-v0,0.1082904924200835
EUGR/MOLunarLanderLowSideEngine-v0,0.16702566770818866
EUGR/MOLunarLanderStartRight-v0,0.0
