metric,score
hypervolume/MOLunarLanderDefault-v0,613285364.7469695
hypervolume/MOLunarLanderHighGravity-v0,556545708.1836501
hypervolume/MOLunarLanderWindy-v0,572149124.7997886
hypervolume/MOLunarLanderTurbulent-v0,589847683.6132479
hypervolume/MOLunarLanderHard-v0,548557064.2581832
hypervolume/MOLunarLanderLowMainEngine-v0,523207208.479948
hypervolume/MOLunarLanderLowSideEngine-v0,628255389.5218363
hypervolume/MOLunarLanderStartRight-v0,542324320.602648
normalized_hypervolume/MOLunarLanderDefault-v0,0.2417452673345901
normalized_hypervolume/MOLunarLanderHighGravity-v0,0.2221324528085693
normalized_hypervolume/MOLunarLanderWindy-v0,0.2424269661757777
normalized_hypervolume/MOLunarLanderTurbulent-v0,0.1932935165399341
normalized_hypervolume/MOLunarLanderHard-v0,0.2282887509400685
normalized_hypervolume/MOLunarLanderLowMainEngine-v0,0.2330234825020269
normalized_hypervolume/MOLunarLanderLowSideEngine-v0,0.2277644353815902
normalized_hypervolume/MOLunarLanderStartRight-v0,0.1841319450458906
eum/MOLunarLanderDefault-v0,-2.385819517706225
eum/MOLunarLanderHighGravity-v0,-3.286749243852429
eum/MOLunarLanderWindy-v0,-6.615279695955895
eum/MOLunarLanderTurbulent-v0,-4.669386776650505
eum/MOLunarLanderHard-v0,-5.938724893179959
eum/MOLunarLanderLowMainEngine-v0,-1.874950427120092
eum/MOLunarLanderLowSideEngine-v0,0.837969639955811
eum/MOLunarLanderStartRight-v0,-6.017750502133129
NHGR/MOLunarLanderDefault-v0,0.37169290797664367
NHGR/MOLunarLanderHighGravity-v0,0.38749418156311255
NHGR/MOLunarLanderWindy-v0,0.34925804472409266
NHGR/MOLunarLanderTurbulent-v0,0.3182154663468727
NHGR/MOLunarLanderHard-v0,0.37273222895003455
NHGR/MOLunarLanderLowMainEngine-v0,0.3525717374479471
NHGR/MOLunarLanderLowSideEngine-v0,0.3212635934123736
NHGR/MOLunarLanderStartRight-v0,0.27528556410649646
EUGR/MOLunarLanderDefault-v0,0.0
EUGR/MOLunarLanderHighGravity-v0,0.0
EUGR/MOLunarLanderWindy-v0,0.0
EUGR/MOLunarLanderTurbulent-v0,0.0
EUGR/MOLunarLanderHard-v0,0.0
EUGR/MOLunarLanderLowMainEngine-v0,0.0
EUGR/MOLunarLanderLowSideEngine-v0,0.04403875502911094
EUGR/MOLunarLanderStartRight-v0,0.0
