metric,score
hypervolume/MOSuperMarioBros-1-2-v2,2449034.9063302153
hypervolume/MOSuperMarioBros-3-2-v2,2710826.910393263
hypervolume/MOSuperMarioBros-3-3-v2,1897994.988134293
hypervolume/MOSuperMarioBros-4-3-v2,1972574.5528300856
hypervolume/MOSuperMarioBros-5-2-v2,1801289.9573401085
hypervolume/MOSuperMarioBros-5-3-v2,1453151.4006158658
hypervolume/MOSuperMarioBros-7-3-v2,1721262.7960186806
hypervolume/MOSuperMarioBros-8-1-v2,3232316.6552445767
normalized_hypervolume/MOSuperMarioBros-1-2-v2,0.9206267383171807
normalized_hypervolume/MOSuperMarioBros-3-2-v2,0.8458131700685132
normalized_hypervolume/MOSuperMarioBros-3-3-v2,0.9078904126229492
normalized_hypervolume/MOSuperMarioBros-4-3-v2,0.8441409299803165
normalized_hypervolume/MOSuperMarioBros-5-2-v2,0.8202902752058823
normalized_hypervolume/MOSuperMarioBros-5-3-v2,0.8644668093890238
normalized_hypervolume/MOSuperMarioBros-7-3-v2,0.5405268050914688
normalized_hypervolume/MOSuperMarioBros-8-1-v2,0.7398195101318344
eum/MOSuperMarioBros-1-2-v2,38.543454603599855
eum/MOSuperMarioBros-3-2-v2,44.62169195257959
eum/MOSuperMarioBros-3-3-v2,22.869265856802066
eum/MOSuperMarioBros-4-3-v2,25.333882968275216
eum/MOSuperMarioBros-5-2-v2,22.011581194853935
eum/MOSuperMarioBros-5-3-v2,13.077125470705052
eum/MOSuperMarioBros-7-3-v2,19.852853942805535
eum/MOSuperMarioBros-8-1-v2,61.54624090297345
