objective_1,objective_2,objective_3,objective_4
-40.58565444946289,-130.399815740576,-9.704266667366028,-27.378737616539
-38.42026557922363,-5.954717778787017,-13.7133360683918,-12.177902227640152
-42.92938232421875,19.42623945130035,-7.405752426385879,-30.78824080824852
-45.25186386108398,15.766285868920386,-1.3040669441223145,-1.8238821268081664
-36.664893341064456,-53.03206944898702,-23.63977866768837,-0.2779215037822723
-52.9296760559082,42.17059612516314,-1.578302276134491,-1.537192416191101
-42.13542938232422,21.734077858459205,-10.33434539437294,-16.004316955804825
-36.70212745666504,24.124512032605708,-12.921543437242509,-33.73869020044803
-41.16179275512695,13.460220275260507,-11.936112225055696,-28.697214287519454
-39.49508285522461,-19.46689583454863,-9.520483189821244,-32.075535506010056
-45.03760452270508,-8.704481013864278,-5.486119449138641,0.0
-26.069586563110352,54.64128751717508,-34.6178071975708,-13.917647650837898
-27.238549041748048,-94.28041400853544,-30.50665540099144,0.0
-41.645459747314455,51.87590746748028,-12.552413618564604,-31.586607241630553
-30.7152982711792,-18.77543580968631,-34.60058632493019,-7.336488491296768
-23.570538139343263,-38.069077628600645,-29.25520425885916,-8.452675965428352
-36.454776763916016,34.852058000210675,-17.64741248190403,-13.783339965343476
-20.5989862203598,-21.34348162198439,-40.235607124492525,-1.9779690220952033
-39.72005081176758,1.9948166726506316,-10.241027408838272,-6.586613589525223
-29.15807228088379,-37.29472799474606,-30.74908191263676,-0.6955874353647232
-18.948780250549316,-79.50799083447491,-48.28628148138523,0.0
-40.69091262817383,71.15868174248025,-15.175033243000508,-34.89181861281395
-22.299314880371092,-46.614861184218896,-33.61938550323248,-4.437289783358574
-41.74333305358887,29.888226254982875,-11.770616883039477,-13.072737300395966
-41.27461547851563,60.44406216712669,-20.149665722250937,-11.14263326227665
-23.4594633102417,-138.64145802911372,-43.06586325764656,0.0
-37.00887680053711,55.820974602689965,-21.600577276945113,-9.321568548679352
-39.26533317565918,64.50482506356202,-18.813926753401756,-13.663350754976271
-47.01621704101562,56.15053201153641,-15.255654555559158,-7.280363821983338
-30.84849433898926,30.49791642015334,-28.050392554700373,-6.922477501630783
-16.62047744989395,-23.6268127123834,-35.11246385462582,-6.8881628811359406
-34.068704223632814,-43.49686939297244,-28.508146941661835,-4.126222896575928
-28.290947914123535,-35.0643372499242,-30.130780820548537,-2.9933649599552155
-32.11730823516846,48.874172696564344,-22.38973086476326,-11.37686109393835
-19.9347882270813,-0.871539010961385,-37.66147860241835,-3.574273193650879
-40.490624237060544,53.08205761963036,-13.298568898439408,-37.25095208287239
-10.789731979370115,75.33338912511269,-36.90783816874027,-11.727486395835877
-33.94445152282715,-175.89529576146742,-18.729167532920837,0.0
-18.29311351776123,-35.04740761811845,-43.91633710712195,-2.802613711357117
-26.370805621147156,79.9531748893551,-29.279795345664024,-30.460210190713404
-44.670030212402345,-21.780338387249504,-1.2770190715789795,-1.516895067691803
-28.4568208694458,-65.49957055703271,-28.946199470758437,0.0
-29.006794357299803,-63.07498431447893,-20.275133657455445,0.0
-41.538648223876955,67.42161773559637,-20.27279598116875,-15.61957090497017
-26.561428991705174,-83.0972704897801,-32.06893891648506,-5.876163533423096
-37.69600601196289,57.552331963554025,-17.180194658041,-9.916239804029464
-41.53512325286865,35.29652092168108,-10.358084377646446,-39.89055850505829
-25.882205390930174,-45.63469103714597,-31.998909257352352,-6.59057996571064
